month_date,time_idx,deaths,year,month,series_id,fear_score_yearly_mean,fear_score_yearly_mean_lag1,feature_std,feature_lag1_std
1783-05-01,1002,1264.0,1783,5,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1783-06-01,1003,1645.0,1783,6,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1783-07-01,1004,1224.0,1783,7,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1783-08-01,1005,1390.0,1783,8,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1783-09-01,1006,2169.0,1783,9,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1783-10-01,1007,1472.0,1783,10,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1783-11-01,1008,1468.0,1783,11,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1783-12-01,1009,2661.0,1783,12,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1784-01-01,1010,1835.0,1784,1,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-02-01,1011,1901.0,1784,2,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-03-01,1012,2276.0,1784,3,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-04-01,1013,1427.0,1784,4,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-05-01,1014,1773.0,1784,5,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-06-01,1015,1273.0,1784,6,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-07-01,1016,1133.0,1784,7,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-08-01,1017,1260.0,1784,8,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-09-01,1018,1117.0,1784,9,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-10-01,1019,1068.0,1784,10,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-11-01,1020,1256.0,1784,11,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1784-12-01,1021,1187.0,1784,12,London,0.6699132455719842,0.6834554257600204,-0.6602927506778447,1.7251542428677842
1785-01-01,1022,1463.0,1785,1,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-02-01,1023,1128.0,1785,2,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-03-01,1024,1543.0,1785,3,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-04-01,1025,1505.0,1785,4,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-05-01,1026,1738.0,1785,5,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-06-01,1027,1542.0,1785,6,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-07-01,1028,1268.0,1785,7,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-08-01,1029,1622.0,1785,8,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-09-01,1030,1616.0,1785,9,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-10-01,1031,1841.0,1785,10,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-11-01,1032,1272.0,1785,11,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1785-12-01,1033,2379.0,1785,12,London,0.6753704111750533,0.6699132455719842,0.295229394809888,-0.6447039878030454
1786-01-01,1034,1780.0,1786,1,London,0.6734864575522287,0.6753704111750533,-0.034641373023932796,0.31029060250615426
1786-02-01,1035,1523.0,1786,2,London,0.6734864575522287,0.6753704111750533,-0.034641373023932796,0.31029060250615426
1786-03-01,1036,1762.0,1786,3,London,0.6734864575522287,0.6753704111750533,-0.034641373023932796,0.31029060250615426
1786-04-01,1037,1842.0,1786,4,London,0.6734864575522287,0.6753704111750533,-0.034641373023932796,0.31029060250615426
1786-05-01,1038,1997.0,1786,5,London,0.6734864575522287,0.6753704111750533,-0.034641373023932796,0.31029060250615426
1786-06-01,1039,1510.0,1786,6,London,0.6734864575522287,0.6753704111750533,-0.034641373023932796,0.31029060250615426
1786-07-01,1040,1745.0,1786,7,London,0.6734864575522287,0.6753704111750533,-0.034641373023932796,0.31029060250615426
1786-08-01,1041,1349.0,1786,8,London,0.6734864575522287,0.6753704111750533,-0.034641373023932796,0.31029060250615426
1786-09-01,1042,1224.0,1786,9,London,0.6734864575522287,0.6753704111750533,-0.034641373023932796,0.31029060250615426
1786-10-01,1043,1597.0,1786,10,London,0.6734864575522287,0.6753704111750533,-0.034641373023932796,0.31029060250615426
