week_date,time_idx,deaths,year,week_of_year,series_id,fear_score_weekly_mean,fear_score_weekly_mean_lag4w,feature_std,feature_lag_std
1709-06-10,1640,392.0,1709,24,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-06-17,1641,404.0,1709,25,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-06-24,1642,418.0,1709,26,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-07-01,1643,372.0,1709,27,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-07-08,1644,343.0,1709,28,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-07-15,1645,345.0,1709,29,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-07-22,1646,332.0,1709,30,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-07-29,1647,345.0,1709,31,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-08-05,1648,325.0,1709,32,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-08-12,1649,408.0,1709,33,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-08-19,1650,339.0,1709,34,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-08-26,1651,381.0,1709,35,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-09-02,1652,379.0,1709,36,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-09-09,1653,384.0,1709,37,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-09-16,1654,370.0,1709,38,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-09-23,1655,472.0,1709,39,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-09-30,1656,406.0,1709,40,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-10-07,1657,415.0,1709,41,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-10-14,1658,375.0,1709,42,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-10-21,1659,359.0,1709,43,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-10-28,1660,370.0,1709,44,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-11-04,1661,372.0,1709,45,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-11-11,1662,385.0,1709,46,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-11-18,1663,391.0,1709,47,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-11-25,1664,366.0,1709,48,London,0.6575983762741089,0.6577469706535339,-0.10678536883676192,-0.09217993366061498
1709-12-02,1665,389.0,1709,49,London,0.6575983762741089,0.6577469706535339,-0.10678536883676192,-0.09217993366061498
1709-12-09,1666,370.0,1709,50,London,0.6575983762741089,0.6577469706535339,-0.10678536883676192,-0.09217993366061498
1709-12-16,1667,426.0,1709,51,London,0.6575983762741089,0.6577469706535339,-0.10678536883676192,-0.09217993366061498
1709-12-23,1668,384.0,1709,52,London,0.6577469706535339,0.6575983762741089,-0.09345852097811004,-0.10551922576228369
1709-12-30,1669,391.0,1710,1,London,0.6577469706535339,0.6575983762741089,-0.09345852097811004,-0.10551922576228369
1710-01-06,1670,478.0,1710,2,London,0.6577469706535339,0.6575983762741089,-0.09345852097811004,-0.10551922576228369
1710-01-13,1671,466.0,1710,3,London,0.6577469706535339,0.6575983762741089,-0.09345852097811004,-0.10551922576228369
1710-01-20,1672,437.0,1710,4,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-01-27,1673,453.0,1710,5,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-02-03,1674,468.0,1710,6,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-02-10,1675,560.0,1710,7,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-02-17,1676,448.0,1710,8,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-02-24,1677,478.0,1710,9,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-03-03,1678,454.0,1710,10,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-03-10,1679,505.0,1710,11,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-03-17,1680,534.0,1710,12,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-03-24,1681,497.0,1710,13,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-03-31,1682,482.0,1710,14,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1710-04-07,1683,477.0,1710,15,London,0.6598654985427856,0.6577469706535339,0.09654394730911968,-0.09217993366061498
